ID Cliente;Zona;País;Tipo de producto;Canal de venta;Prioridad;Fecha pedido;ID Pedido;Fecha envío;Unidades; Precio Unitario ; Coste unitario ; Importe venta total ; Importe Coste total 
C4645;África;The Gambia;Cosméticos;Online;Crítica;8/06/2021;464588487;25/07/2021;912; 437,20 € ; 263,33 € ; 398.726,40 € ; 240.156,96 € 
C1390;Asia;Myanmar;Snacks;Offline;Media;26/07/2021;139070880;4/08/2021;3019; 152,58 € ; 97,44 € ; 460.639,02 € ; 294.171,36 € 
C4168;Asia;Bhutan;Ropa;Online;Crítica;15/10/2021;416881215;21/10/2021;3270; 109,28 € ; 35,84 € ; 357.345,60 € ; 117.196,80 € 
C1418;África;Mali;Verduras;Online;Crítica;23/11/2021;141818320;29/11/2021;6047; 154,06 € ; 90,93 € ; 931.600,82 € ; 549.853,71 € 
C4779;África;Burundi;Cuidado personal;Online;Alta;31/01/2022;477993524;12/03/2022;7761; 81,73 € ; 56,67 € ; 634.306,53 € ; 439.815,87 € 
C8598;África;Libya;Ropa;Offline;Alta;11/07/2021;859830653;5/08/2021;1852; 109,28 € ; 35,84 € ; 202.386,56 € ; 66.375,68 € 
C3420;África;Nigeria;Ropa;Offline;Crítica;26/08/2022;342066037;11/10/2022;3797; 109,28 € ; 35,84 € ; 414.936,16 € ; 136.084,48 € 
C7497;Europa;Norway;Doméstico;Online;Crítica;21/02/2021;749748504;16/03/2021;6098; 668,27 € ; 502,54 € ; 4.075.110,46 € ; 3.064.488,92 € 
C8282;África;Kenya;Cosméticos;Offline;Media;30/08/2021;828239381;8/10/2021;3293; 437,20 € ; 263,33 € ; 1.439.699,60 € ; 867.145,69 € 
C2932;Australia y Oceanía;Papua New Guinea;Verduras;Online;Alta;19/02/2022;293212497;9/03/2022;6948; 154,06 € ; 90,93 € ; 1.070.408,88 € ; 631.781,64 € 
C2806;Asia;North Korea;Cuidado personal;Offline;Baja;17/11/2020;280654180;2/01/2021;663; 81,73 € ; 56,67 € ; 54.186,99 € ; 37.572,21 € 
C1968;Europa;Montenegro;Ropa;Offline;Media;25/11/2020;196863257;9/01/2021;5067; 109,28 € ; 35,84 € ; 553.721,76 € ; 181.601,28 € 
C8684;Europa;Norway;Frutas;Offline;Alta;6/10/2022;868451058;8/10/2022;2822; 9,33 € ; 6,92 € ; 26.329,26 € ; 19.528,24 € 
C4923;África;Lesotho;Ropa;Offline;Baja;7/04/2020;492341411;24/05/2020;3619; 109,28 € ; 35,84 € ; 395.484,32 € ; 129.704,96 € 
C4857;Asia;Indonesia;Cárnicos;Online;Alta;2/12/2021;485770642;15/12/2021;9183; 421,89 € ; 364,69 € ; 3.874.215,87 € ; 3.348.948,27 € 
C5362;África;Iraq;Bebida;Online;Alta;28/11/2020;536287581;28/12/2020;8268; 47,45 € ; 31,79 € ; 392.316,60 € ; 262.839,72 € 
C8517;Asia;Singapore;Cereales;Online;Crítica;3/04/2022;851753556;12/05/2022;1660; 205,70 € ; 117,11 € ; 341.462,00 € ; 194.402,60 € 
C8103;Asia;South Korea;Verduras;Online;Media;15/05/2021;810342395;31/05/2021;7177; 154,06 € ; 90,93 € ; 1.105.688,62 € ; 652.604,61 € 
C3105;África;Lebanon;Doméstico;Online;Baja;26/08/2022;310540425;1/09/2022;4668; 668,27 € ; 502,54 € ; 3.119.484,36 € ; 2.345.856,72 € 
C2211;Asia;Myanmar;Frutas;Online;Alta;23/11/2020;221146476;31/12/2020;1011; 9,33 € ; 6,92 € ; 9.432,63 € ; 6.996,12 € 
C1312;Asia;Vietnam;Ropa;Online;Alta;23/09/2022;131271874;27/09/2022;5120; 109,28 € ; 35,84 € ; 559.513,60 € ; 183.500,80 € 
C6003;África;Jordan;Frutas;Online;Baja;25/04/2022;600340449;2/06/2022;2935; 9,33 € ; 6,92 € ; 27.383,55 € ; 20.310,20 € 
C9080;Australia y Oceanía;Palau;Material de oficina;Offline;Baja;20/10/2022;908088529;22/11/2022;2430; 651,21 € ; 524,96 € ; 1.582.440,30 € ; 1.275.652,80 € 
C4045;Centroamérica y Caribe;Antigua and Barbuda ;Cereales;Offline;Crítica;4/08/2020;404564940;28/08/2020;8611; 205,70 € ; 117,11 € ; 1.771.282,70 € ; 1.008.434,21 € 
C7601;Australia y Oceanía;Papua New Guinea;Cuidado personal;Offline;Baja;21/01/2021;760131013;28/01/2021;8513; 81,73 € ; 56,67 € ; 695.767,49 € ; 482.431,71 € 
C1154;Centroamérica y Caribe;El Salvador;Ropa;Offline;Media;2/11/2022;115460574;19/11/2022;6205; 109,28 € ; 35,84 € ; 678.082,40 € ; 222.387,20 € 
C7315;África;Republic of the Congo;Bebida;Offline;Baja;8/02/2022;731539952;9/02/2022;7783; 47,45 € ; 31,79 € ; 369.303,35 € ; 247.421,57 € 
C4396;Australia y Oceanía;Vanuatu;Cárnicos;Online;Crítica;3/08/2022;439667975;21/09/2022;6379; 421,89 € ; 364,69 € ; 2.691.236,31 € ; 2.326.357,51 € 
C2914;Asia;Bangladesh;Ropa;Offline;Baja;11/09/2022;291455972;16/09/2022;7154; 109,28 € ; 35,84 € ; 781.789,12 € ; 256.399,36 € 
C5088;África;Burundi;Cereales;Offline;Baja;1/09/2022;508827769;13/09/2022;2299; 205,70 € ; 117,11 € ; 472.904,30 € ; 269.235,89 € 
C9340;África;South Sudan;Verduras;Online;Media;17/04/2020;934019696;7/05/2020;6039; 154,06 € ; 90,93 € ; 930.368,34 € ; 549.126,27 € 
C5795;África;Mozambique;Bebida;Online;Baja;25/11/2020;579580581;12/12/2020;9628; 47,45 € ; 31,79 € ; 456.848,60 € ; 306.074,12 € 
C7783;Centroamérica y Caribe;Saint Kitts and Nevis ;Cárnicos;Online;Crítica;27/08/2021;778371751;3/09/2021;6353; 421,89 € ; 364,69 € ; 2.680.267,17 € ; 2.316.875,57 € 
C2335;África;Rwanda;Verduras;Offline;Media;16/07/2021;233567035;17/08/2021;6531; 154,06 € ; 90,93 € ; 1.006.165,86 € ; 593.863,83 € 
C8686;África;Rwanda;Bebida;Online;Alta;24/10/2022;868652760;8/12/2022;2510; 47,45 € ; 31,79 € ; 119.099,50 € ; 79.792,90 € 
C1774;Europa;Moldova ;Verduras;Offline;Baja;23/12/2020;177427756;31/01/2021;3671; 154,06 € ; 90,93 € ; 565.554,26 € ; 333.804,03 € 
C6740;Europa;Austria;Cereales;Offline;Baja;10/07/2020;674003350;30/07/2020;1424; 205,70 € ; 117,11 € ; 292.916,80 € ; 166.764,64 € 
C4428;Europa;Spain;Ropa;Offline;Baja;16/01/2022;442803370;18/02/2022;4212; 109,28 € ; 35,84 € ; 460.287,36 € ; 150.958,08 € 
C7885;Asia;China;Alimento infantil;Online;Crítica;27/10/2020;788564145;1/12/2020;2509; 255,28 € ; 159,42 € ; 640.497,52 € ; 399.984,78 € 
C3863;África;Qatar;Cosméticos;Online;Media;21/07/2022;386334502;11/08/2022;3819; 437,20 € ; 263,33 € ; 1.669.666,80 € ; 1.005.657,27 € 
C2314;Europa;Georgia;Cuidado personal;Online;Crítica;22/11/2021;231475770;23/11/2021;7679; 81,73 € ; 56,67 € ; 627.604,67 € ; 435.168,93 € 
C4896;Asia;Kazakhstan;Doméstico;Online;Media;18/01/2021;489661777;11/02/2021;656; 668,27 € ; 502,54 € ; 438.385,12 € ; 329.666,24 € 
C9468;África;Namibia;Cuidado personal;Offline;Baja;18/08/2022;946878850;5/10/2022;1348; 81,73 € ; 56,67 € ; 110.172,04 € ; 76.391,16 € 
C5594;Centroamérica y Caribe;Jamaica;Cárnicos;Offline;Baja;1/07/2022;559425818;23/07/2022;5386; 421,89 € ; 364,69 € ; 2.272.299,54 € ; 1.964.220,34 € 
C6039;África;Syria;Verduras;Offline;Media;22/08/2022;603914010;1/09/2022;431; 154,06 € ; 90,93 € ; 66.399,86 € ; 39.190,83 € 
C6272;África;Tanzania;Frutas;Offline;Crítica;24/02/2021;627267253;8/03/2021;1174; 9,33 € ; 6,92 € ; 10.953,42 € ; 8.124,08 € 
C6967;África;Angola;Alimento infantil;Online;Alta;1/04/2022;696721875;12/05/2022;4340; 255,28 € ; 159,42 € ; 1.107.915,20 € ; 691.882,80 € 
C9498;Asia;China;Cuidado personal;Offline;Baja;18/07/2020;949826705;6/09/2020;3684; 81,73 € ; 56,67 € ; 301.093,32 € ; 208.772,28 € 
C2444;Europa;Hungary;Cuidado personal;Offline;Baja;30/06/2022;244443070;3/07/2022;4991; 81,73 € ; 56,67 € ; 407.914,43 € ; 282.839,97 € 
C2087;Europa;Norway;Doméstico;Offline;Alta;29/01/2022;208744800;3/02/2022;1080; 668,27 € ; 502,54 € ; 721.731,60 € ; 542.743,20 € 
C2912;Australia y Oceanía;Australia;Cárnicos;Offline;Crítica;9/04/2022;291218221;2/05/2022;6798; 421,89 € ; 364,69 € ; 2.868.008,22 € ; 2.479.162,62 € 
C9106;África;Nigeria;Doméstico;Offline;Media;22/02/2022;910662162;5/03/2022;4025; 668,27 € ; 502,54 € ; 2.689.786,75 € ; 2.022.723,50 € 
C3061;Asia;Thailand;Material de oficina;Online;Media;9/03/2021;306187951;17/04/2021;6674; 651,21 € ; 524,96 € ; 4.346.175,54 € ; 3.503.583,04 € 
C3872;Asia;Taiwan;Frutas;Offline;Alta;16/09/2020;387219417;27/09/2020;5685; 9,33 € ; 6,92 € ; 53.041,05 € ; 39.340,20 € 
C8834;Asia;India;Verduras;Online;Baja;5/06/2022;883492887;5/06/2022;4033; 154,06 € ; 90,93 € ; 621.323,98 € ; 366.720,69 € 
C6950;Europa;Romania;Bebida;Offline;Baja;24/04/2021;695057189;8/05/2021;1723; 47,45 € ; 31,79 € ; 81.756,35 € ; 54.774,17 € 
C1422;Australia y Oceanía;East Timor;Cosméticos;Online;Baja;23/04/2021;142273652;16/05/2021;790; 437,20 € ; 263,33 € ; 345.388,00 € ; 208.030,70 € 
C5158;Europa;Bosnia and Herzegovina;Cereales;Online;Baja;28/06/2022;515816104;6/08/2022;303; 205,70 € ; 117,11 € ; 62.327,10 € ; 35.484,33 € 
C9266;Europa;Ireland;Cuidado personal;Offline;Baja;14/06/2022;926670873;17/07/2022;1359; 81,73 € ; 56,67 € ; 111.071,07 € ; 77.014,53 € 
C5561;Europa;Croatia;Doméstico;Online;Baja;19/08/2020;556136786;5/09/2020;2089; 668,27 € ; 502,54 € ; 1.396.016,03 € ; 1.049.806,06 € 
C9058;África;Iraq;Alimento infantil;Online;Baja;6/08/2022;905825173;22/08/2022;2653; 255,28 € ; 159,42 € ; 677.257,84 € ; 422.941,26 € 
C8476;Europa;Malta;Material de oficina;Online;Crítica;7/06/2021;847659862;22/07/2021;245; 651,21 € ; 524,96 € ; 159.546,45 € ; 128.615,20 € 
C6738;Europa;Ireland;Cárnicos;Offline;Baja;26/01/2022;673877179;21/02/2022;4087; 421,89 € ; 364,69 € ; 1.724.264,43 € ; 1.490.488,03 € 
C7470;África;Madagascar;Alimento infantil;Online;Baja;14/09/2022;747025954;12/10/2022;435; 255,28 € ; 159,42 € ; 111.046,80 € ; 69.347,70 € 
C1499;Europa;Austria;Cosméticos;Online;Media;1/12/2021;149967515;27/12/2021;7575; 437,20 € ; 263,33 € ; 3.311.790,00 € ; 1.994.724,75 € 
C7358;África;Sierra Leone;Cuidado personal;Offline;Crítica;17/02/2020;735875689;25/03/2020;824; 81,73 € ; 56,67 € ; 67.345,52 € ; 46.696,08 € 
C3782;Europa;Netherlands;Material de oficina;Online;Crítica;9/01/2021;378236806;18/02/2021;7531; 651,21 € ; 524,96 € ; 4.904.262,51 € ; 3.953.473,76 € 
C6208;Europa;Croatia;Cosméticos;Offline;Alta;15/07/2021;620849692;18/07/2021;2075; 437,20 € ; 263,33 € ; 907.190,00 € ; 546.409,75 € 
C8278;Centroamérica y Caribe;Trinidad and Tobago;Snacks;Offline;Baja;11/11/2021;827825677;19/11/2021;869; 152,58 € ; 97,44 € ; 132.592,02 € ; 84.675,36 € 
C4335;Asia;South Korea;Doméstico;Offline;Crítica;5/03/2021;433588588;28/03/2021;7353; 668,27 € ; 502,54 € ; 4.913.789,31 € ; 3.695.176,62 € 
C2928;Australia y Oceanía;Samoa ;Cárnicos;Offline;Alta;24/11/2021;292874753;25/12/2021;7003; 421,89 € ; 364,69 € ; 2.954.495,67 € ; 2.553.924,07 € 
C4307;Europa;Albania;Material de oficina;Offline;Baja;31/07/2022;430733001;2/08/2022;2322; 651,21 € ; 524,96 € ; 1.512.109,62 € ; 1.218.957,12 € 
C4925;África;Cape Verde;Frutas;Online;Media;3/03/2022;492524659;25/03/2022;7846; 9,33 € ; 6,92 € ; 73.203,18 € ; 54.294,32 € 
C1939;Europa;Italy;Bebida;Online;Baja;9/06/2021;193923556;20/06/2021;5145; 47,45 € ; 31,79 € ; 244.130,25 € ; 163.559,55 € 
C6709;Europa;Hungary;Bebida;Offline;Baja;26/07/2021;670916020;2/08/2021;7815; 47,45 € ; 31,79 € ; 370.821,75 € ; 248.438,85 € 
C4298;Asia;Maldives;Alimento infantil;Offline;Crítica;17/09/2022;429800879;19/10/2022;6486; 255,28 € ; 159,42 € ; 1.655.746,08 € ; 1.033.998,12 € 
C2971;África;Mali;Doméstico;Offline;Alta;25/07/2022;297189462;19/08/2022;3821; 668,27 € ; 502,54 € ; 2.553.459,67 € ; 1.920.205,34 € 
C2700;África;Yemen;Cuidado personal;Online;Media;26/08/2020;270005595;4/09/2020;9511; 81,73 € ; 56,67 € ; 777.334,03 € ; 538.988,37 € 
C8654;Asia;North Korea;Snacks;Offline;Baja;15/08/2022;865485608;10/09/2022;5279; 152,58 € ; 97,44 € ; 805.469,82 € ; 514.385,76 € 
C8711;Asia;Uzbekistan;Cereales;Offline;Alta;28/08/2021;871178328;28/08/2021;9882; 205,70 € ; 117,11 € ; 2.032.727,40 € ; 1.157.281,02 € 
C4949;Europa;Latvia;Verduras;Online;Baja;12/10/2022;494945085;6/11/2022;4104; 154,06 € ; 90,93 € ; 632.262,24 € ; 373.176,72 € 
C9149;Asia;Singapore;Snacks;Offline;Crítica;29/05/2021;914959704;24/06/2021;5764; 152,58 € ; 97,44 € ; 879.471,12 € ; 561.644,16 € 
C2297;Europa;Lithuania;Doméstico;Online;Baja;7/12/2021;229708516;23/01/2022;4709; 668,27 € ; 502,54 € ; 3.146.883,43 € ; 2.366.460,86 € 
C2079;África;Senegal;Bebida;Offline;Alta;4/01/2022;207990348;20/01/2022;7821; 47,45 € ; 31,79 € ; 371.106,45 € ; 248.629,59 € 
C4389;África;South Sudan;Verduras;Offline;Crítica;20/07/2022;438916528;18/08/2022;4009; 154,06 € ; 90,93 € ; 617.626,54 € ; 364.538,37 € 
C5819;Europa;Bulgaria;Alimento infantil;Online;Alta;30/07/2020;581910884;16/08/2020;9217; 255,28 € ; 159,42 € ; 2.352.915,76 € ; 1.469.374,14 € 
C8167;África;Seychelles ;Cárnicos;Offline;Alta;4/02/2022;816709744;1/03/2022;1417; 421,89 € ; 364,69 € ; 597.818,13 € ; 516.765,73 € 
C4933;Centroamérica y Caribe;Saint Kitts and Nevis ;Doméstico;Online;Alta;24/08/2020;493361937;29/09/2020;5616; 668,27 € ; 502,54 € ; 3.753.004,32 € ; 2.822.264,64 € 
C3822;Centroamérica y Caribe;Saint Vincent and the Grenadines;Alimento infantil;Offline;Alta;10/08/2021;382228791;26/09/2021;8848; 255,28 € ; 159,42 € ; 2.258.717,44 € ; 1.410.548,16 € 
C4239;Europa;Andorra;Cosméticos;Offline;Baja;2/10/2020;423984134;14/11/2020;5182; 437,20 € ; 263,33 € ; 2.265.570,40 € ; 1.364.576,06 € 
C1796;África;Mali;Cárnicos;Offline;Crítica;3/11/2022;179614293;23/11/2022;716; 421,89 € ; 364,69 € ; 302.073,24 € ; 261.118,04 € 
C1804;África;Togo;Cuidado personal;Offline;Media;26/02/2020;180418097;15/03/2020;8579; 81,73 € ; 56,67 € ; 701.161,67 € ; 486.171,93 € 
C5780;Asia;Thailand;Cárnicos;Offline;Alta;17/07/2022;578006875;21/08/2022;3934; 421,89 € ; 364,69 € ; 1.659.715,26 € ; 1.434.690,46 € 
C6943;Europa;Moldova ;Doméstico;Online;Alta;1/09/2021;694304454;9/09/2021;8972; 668,27 € ; 502,54 € ; 5.995.718,44 € ; 4.508.788,88 € 
C3715;Centroamérica y Caribe;Trinidad and Tobago;Alimento infantil;Online;Alta;14/01/2021;371547162;23/02/2021;7917; 255,28 € ; 159,42 € ; 2.021.051,76 € ; 1.262.128,14 € 
C4222;Asia;Japan;Bebida;Online;Media;6/04/2020;422283828;26/04/2020;2024; 47,45 € ; 31,79 € ; 96.038,80 € ; 64.342,96 € 
C3793;África;Central African Republic;Cereales;Offline;Crítica;23/03/2022;379375779;23/03/2022;4578; 205,70 € ; 117,11 € ; 941.694,60 € ; 536.129,58 € 
C7459;África;Azerbaijan;Cuidado personal;Online;Baja;11/03/2020;745996844;3/04/2020;5899; 81,73 € ; 56,67 € ; 482.125,27 € ; 334.296,33 € 
C7456;África;Mauritania;Frutas;Offline;Baja;20/02/2022;745633351;3/04/2022;8333; 9,33 € ; 6,92 € ; 77.746,89 € ; 57.664,36 € 
C5720;Europa;Portugal;Snacks;Offline;Media;16/09/2020;572084128;5/11/2020;1261; 152,58 € ; 97,44 € ; 192.403,38 € ; 122.871,84 € 
C9394;África;Liberia;Bebida;Online;Baja;22/05/2020;939460504;24/05/2020;6095; 47,45 € ; 31,79 € ; 289.207,75 € ; 193.760,05 € 
C8321;África;South Sudan;Frutas;Online;Alta;12/10/2021;832186305;26/11/2021;1276; 9,33 € ; 6,92 € ; 11.905,08 € ; 8.829,92 € 
C6549;África;Cameroon;Frutas;Online;Baja;28/02/2020;654997861;2/04/2020;7277; 9,33 € ; 6,92 € ; 67.894,41 € ; 50.356,84 € 
C8829;Centroamérica y Caribe;Cuba;Cárnicos;Online;Baja;23/03/2021;882943999;7/04/2021;1605; 421,89 € ; 364,69 € ; 677.133,45 € ; 585.327,45 € 
C7113;África;Malawi;Frutas;Online;Baja;27/06/2022;711386048;15/08/2022;3795; 9,33 € ; 6,92 € ; 35.407,35 € ; 26.261,40 € 
C3059;Australia y Oceanía;Tuvalu;Bebida;Offline;Baja;9/06/2020;305997836;10/07/2020;415; 47,45 € ; 31,79 € ; 19.691,75 € ; 13.192,85 € 
C3527;África;Burundi;Cárnicos;Offline;Alta;19/07/2020;352765691;11/08/2020;62; 421,89 € ; 364,69 € ; 26.157,18 € ; 22.610,78 € 
C7079;África;Liberia;Verduras;Online;Crítica;15/07/2021;707988440;8/08/2021;8367; 154,06 € ; 90,93 € ; 1.289.020,02 € ; 760.811,31 € 
C8482;Asia;Turkmenistan;Verduras;Offline;Media;13/07/2022;848277413;29/08/2022;2992; 154,06 € ; 90,93 € ; 460.947,52 € ; 272.062,56 € 
C3205;África;Uganda;Doméstico;Online;Media;16/08/2021;320556437;25/09/2021;8628; 668,27 € ; 502,54 € ; 5.765.833,56 € ; 4.335.915,12 € 
C9920;África;Lebanon;Alimento infantil;Online;Alta;6/03/2020;992061841;24/03/2020;1999; 255,28 € ; 159,42 € ; 510.304,72 € ; 318.680,58 € 
C3003;Europa;Switzerland;Material de oficina;Online;Media;20/05/2021;300342452;24/06/2021;6861; 651,21 € ; 524,96 € ; 4.467.951,81 € ; 3.601.750,56 € 
C7032;África;Kuwait;Verduras;Online;Alta;2/04/2020;703259599;5/04/2020;8998; 154,06 € ; 90,93 € ; 1.386.231,88 € ; 818.188,14 € 
C2289;Asia;India;Ropa;Offline;Alta;17/03/2022;228987109;14/04/2022;1229; 109,28 € ; 35,84 € ; 134.305,12 € ; 44.047,36 € 
C1260;África;Angola;Cereales;Online;Crítica;22/08/2021;126011312;18/09/2021;8402; 205,70 € ; 117,11 € ; 1.728.291,40 € ; 983.958,22 € 
C8131;Asia;Uzbekistan;Bebida;Offline;Crítica;28/06/2020;813131034;1/07/2020;2397; 47,45 € ; 31,79 € ; 113.737,65 € ; 76.200,63 € 
C5294;Europa;Latvia;Cuidado personal;Offline;Crítica;5/02/2021;529457604;5/03/2021;7126; 81,73 € ; 56,67 € ; 582.407,98 € ; 403.830,42 € 
C2844;África;Ghana;Cárnicos;Offline;Media;2/12/2021;284414851;7/12/2021;3530; 421,89 € ; 364,69 € ; 1.489.271,70 € ; 1.287.355,70 € 
C7077;Europa;Poland;Bebida;Online;Crítica;22/10/2021;707739102;28/10/2021;4583; 47,45 € ; 31,79 € ; 217.463,35 € ; 145.693,57 € 
C6994;Asia;Mongolia;Cosméticos;Online;Baja;15/06/2021;699479186;25/07/2021;290; 437,20 € ; 263,33 € ; 126.788,00 € ; 76.365,70 € 
C5799;Asia;Vietnam;Cereales;Online;Crítica;13/12/2021;579996430;9/01/2022;2687; 205,70 € ; 117,11 € ; 552.715,90 € ; 314.674,57 € 
C7399;Europa;United Kingdom;Cereales;Online;Baja;29/06/2020;739964663;27/07/2020;842; 205,70 € ; 117,11 € ; 173.199,40 € ; 98.606,62 € 
C2903;Australia y Oceanía;Vanuatu;Ropa;Offline;Baja;31/05/2020;290370213;15/06/2020;5854; 109,28 € ; 35,84 € ; 639.725,12 € ; 209.807,36 € 
C2125;África;Ethiopia;Frutas;Online;Baja;22/02/2021;212511909;22/02/2021;5851; 9,33 € ; 6,92 € ; 54.589,83 € ; 40.488,92 € 
C2080;África;Niger;Frutas;Online;Crítica;13/07/2022;208001077;22/07/2022;996; 9,33 € ; 6,92 € ; 9.292,68 € ; 6.892,32 € 
C9487;África;Central African Republic;Cuidado personal;Offline;Alta;9/07/2020;948761546;13/07/2020;8480; 81,73 € ; 56,67 € ; 693.070,40 € ; 480.561,60 € 
C9270;África;Cape Verde;Snacks;Offline;Crítica;18/01/2020;927029645;29/01/2020;7527; 152,58 € ; 97,44 € ; 1.148.469,66 € ; 733.430,88 € 
C5053;Norteamérica;United States of America;Cuidado personal;Offline;Crítica;26/02/2022;505354201;12/04/2022;4393; 81,73 € ; 56,67 € ; 359.039,89 € ; 248.951,31 € 
C5665;África;Sudan;Frutas;Offline;Crítica;30/07/2022;566596543;1/09/2022;7363; 9,33 € ; 6,92 € ; 68.696,79 € ; 50.951,96 € 
C2639;África;Republic of the Congo;Material de oficina;Offline;Crítica;24/09/2021;263930499;5/11/2021;1755; 651,21 € ; 524,96 € ; 1.142.873,55 € ; 921.304,80 € 
C1708;Australia y Oceanía;Federated States of Micronesia;Frutas;Online;Crítica;10/06/2020;170842397;10/06/2020;4917; 9,33 € ; 6,92 € ; 45.875,61 € ; 34.025,64 € 
C9311;África;South Sudan;Frutas;Offline;Baja;10/05/2021;931131064;7/06/2021;1229; 9,33 € ; 6,92 € ; 11.466,57 € ; 8.504,68 € 
C1089;África;Cape Verde;Frutas;Online;Media;27/10/2021;108907830;31/10/2021;7102; 9,33 € ; 6,92 € ; 66.261,66 € ; 49.145,84 € 
C7385;Australia y Oceanía;Palau;Doméstico;Offline;Alta;31/12/2020;738596522;18/02/2021;5979; 668,27 € ; 502,54 € ; 3.995.586,33 € ; 3.004.686,66 € 
C9749;África;Bahrain;Material de oficina;Offline;Baja;29/04/2021;974933469;12/06/2021;3333; 651,21 € ; 524,96 € ; 2.170.482,93 € ; 1.749.691,68 € 
C8429;África;Algeria;Material de oficina;Offline;Media;4/05/2021;842967498;14/05/2021;1670; 651,21 € ; 524,96 € ; 1.087.520,70 € ; 876.683,20 € 
C8880;África;Botswana;Cuidado personal;Online;Crítica;7/11/2022;888059937;10/12/2022;5525; 81,73 € ; 56,67 € ; 451.558,25 € ; 313.101,75 € 
C8258;África;Seychelles ;Doméstico;Offline;Media;1/12/2020;825884616;3/01/2021;6466; 668,27 € ; 502,54 € ; 4.321.033,82 € ; 3.249.423,64 € 
C8924;África;The Gambia;Material de oficina;Online;Alta;8/06/2022;892427861;25/07/2022;8091; 651,21 € ; 524,96 € ; 5.268.940,11 € ; 4.247.451,36 € 
